supplier,wash_temperature,collection,price,name,erp_name,description,color,variation_name,image,material,brand,meta_title,care_instructions,size,variation_image,composition
"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '800'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '999.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Heritage jacket navy'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Amor'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Heritage jacket navy blue tweed suit with single breasted 2 button. 53% wool, 22% polyester, 18% acrylic, 5% nylon, 1% cotton, 1% viscose. Dry Cleaning uniquement.Le mannequin measuring 1m85 and wears UK size 40, size 50 FR'}]",,,,,,,,,,
,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Brooks blue'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Brooks blue'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Brooks blue'}]","[{'locale': None, 'scope': None, 'data': 'blue'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Brooks blue'}]",,,,,,,,
,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Brooks pink'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Brooks pink'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Brooks pink'}]","[{'locale': None, 'scope': None, 'data': 'pink'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Brooks pink'}]",,,,,,,,
"[{'locale': None, 'scope': None, 'data': 'mongo'}]","[{'locale': None, 'scope': None, 'data': '600'}]","[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '999.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Tuxedo with animal print'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Caelus'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Get ready to party in this tuxedo with animal print grabbing composed of a single-breasted jacket with 2 buttons and matching pants. Our skinny suits offer a perfect contemporary snowstorm.\nThe model is 1.85 meters (6 feet 1 inch), wears a size 40 jacket and pants 32R.\nDry clean only.'}]",,,,,,,,,,
"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '258.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'climbingshoe'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Climbing shoe'}]",,,,"[{'locale': None, 'scope': None, 'data': '3/6/d/a/36da5c1695cf175bc3cf2aa7a074223c73300ae6_climbingshoe.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/3/6/d/a/36da5c1695cf175bc3cf2aa7a074223c73300ae6_climbingshoe.jpg/download'}}}]",,,,,,,
,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Converse black'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Converse black'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Converse black'}]","[{'locale': None, 'scope': None, 'data': 'black'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Converse black'}]","[{'locale': None, 'scope': None, 'data': '7/3/2/9/73296e090ddb391ead632a264d7d91be2ac8ba92_feet_1842328_960_720.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/7/3/2/9/73296e090ddb391ead632a264d7d91be2ac8ba92_feet_1842328_960_720.jpg/download'}}}]",,,,,,,
,,"[{'locale': None, 'scope': None, 'data': ['summer_2017']}]",,"[{'locale': None, 'scope': None, 'data': 'Converse red'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Converse red'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Converse red'}]","[{'locale': None, 'scope': None, 'data': 'red'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Converse red'}]","[{'locale': None, 'scope': None, 'data': '2/f/a/d/2fad1b05123365dc36a5a2a4888fbbead42efc06_converse_932667_960_720.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/2/f/a/d/2fad1b05123365dc36a5a2a4888fbbead42efc06_converse_932667_960_720.jpg/download'}}}]",,,,,,,
"[{'locale': None, 'scope': None, 'data': 'abibas'}]",,"[{'locale': None, 'scope': None, 'data': ['summer_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '123.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'derby'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Derby shoe'}]",,,,,,,,,,,
"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '400'}]","[{'locale': None, 'scope': None, 'data': ['winter_2016']}]","[{'locale': None, 'scope': None, 'data': [{'amount': '149.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'diana'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Diana'}]","[{'locale': 'en_US', 'scope': 'ecommerce', 'data': 'Length: Short\nLining: 100% polyester\nModel: Model is 179 cm and wears a size 36\nCervical Shape: Deep V-neck\nTotal length: 88 cm in size 36\nAdditional Info: zip, lined\nHandle Type: Sleeveless\nComposition: 100% nylon\nCare instructions: hand wash'}]",,,"[{'locale': None, 'scope': None, 'data': 'f/1/a/1/f1a12b65455762815d33bfb00e4a94b1c857ab24_diana2.jpg', '_links': {'download': {'href': 'http://localhost:8080/api/rest/v1/media-files/f/1/a/1/f1a12b65455762815d33bfb00e4a94b1c857ab24_diana2.jpg/download'}}}]",,,,,,,
"[{'locale': None, 'scope': None, 'data': 'zaro'}]","[{'locale': None, 'scope': None, 'data': '800'}]",,"[{'locale': None, 'scope': None, 'data': [{'amount': '1099.00', 'currency': 'EUR'}]}]","[{'locale': None, 'scope': None, 'data': 'Black-breasted jacket'}]","[{'locale': 'en_US', 'scope': None, 'data': 'Dionysos'}]",,,,,,,,,,,
